"Longitude","Latitude","Place.names"
"level 4","level 2","Kadhimiya kindergarten"
"level 4","level 2","the aquatic city"
"level 4","level 2","Mosque and shrine of Imam Abu Hanifa Noman"
"level 4","level 2","Bartha Mosque"
"level 4","level 2","Mosque and shrine of Sheikh Abdul Qadir Kilani"
"level 4","level 2","Mosque of the Caliphs"
"level 4","level 2","Al Zawra Park"
"level 4","level 2","Al Mustansiriya School"
"level 4","level 2","The Abbasid palace"
"level 4","level 2","Al Qashla Building"
"level 4","level 2","The Baghdadi Museum"
"level 4","level 2","Natural History Museum"
"level 4","level 2","The Island of Baghdad"
"level 4","level 2","amusement park  of Sinbad"
"level 4","level 2","Wall of Baghdad"
"level 4","level 2","Aqraqof"
"level 4","level 2","Al Shaab International Stadium"
"level 4","level 2","Iraqi National Theater"
"level 4","level 2","Abu Nawas Park"
"level 4","level 2","Cornish of Adhamiya"
"level 4","level 2","Hill of Hermel"
"level 4","level 2","Al-Mada'in"
"level 4","level 2","Baghdad Mall"
"level 4","level 2","Al Mansour Mall"
"level 4","level 2","Nakheel Mall"
"level 4","level 2","Zayouna Mall"
"level 4","level 2","The Monument to the Unknown Soldier"
"level 4","level 2","Victory Arch"
"level 4","level 2","Al-Shaheed Monument"
"level 4","level 2","Monument to Liberation Square"
"level 4","level 2","The Iraqi Museum"
"level 4","level 2","Baghdad Clock"
"level 4","level 2","Al_Rasheed Street"
"level 4","level 2","Weddings tourist island"
"level 4","level 2","Lake of  Al-Jadriya"
"level 4","level 2","Al_Mutanabi Street"
"level 3","level 4","The tomb of the prophet Younis"
"level 3","level 4","The Shrine of Prophet Shit"
"level 3","level 4","Lake of Mosul Dam"
"level 3","level 4","Tel Qwengq"
"level 3","level 4","Hill of AL-ramah"
"level 3","level 4","Wall of Mosul"
"level 3","level 4","Castle of Bashtabia"
"level 3","level 4","Church of Saint Thomas"
"level 3","level 4","Monastery of Saint Corcis"
"level 3","level 4","Mosque of Nouri"
"level 3","level 4","Great Mosque"
"level 3","level 4","amawy-mosque"
"level 3","level 4","Mosque of Egwat"
"level 3","level 4","Mosque of the Prophet  Georgsmoschee"
"level 3","level 4","Al Najafi Street"
"level 3","level 4","Hamam al-Alil"
"level 3","level 4","Mosul Museum"
"level 3","level 4","University of Mosul Stadium"
"level 3","level 4","New Gate Park"
"level 3","level 4","The forests of Mosul"
"level 3","level 4","Al-Amadiyah Castle"
"level 3","level 4","The Abbasid Bridge"
"level 3","level 4","Great Duhok Mosque."
"level 3","level 4","The Great Mosque in Aqra"
"level 3","level 4","Resort of Zawita"
"level 3","level 4","Shranche waterfall"
"level 3","level 4","Resort  of Sarsink"
"level 3","level 4","Resort of Ashawa"
"level 3","level 4","Resort of Solav"
"level 3","level 4","Prazani Park"
"level 3","level 4","Park Azadi"
"level 3","level 4","Phin Resort"
"level 3","level 4","Duhok Mall"
"level 3","level 4","Dohuk Governorate"
"level 3","level 4","Resort  of Kelly Sheeran"
"level 3","level 4","Family Mall"
"level 4","level 4","Gali Ali Beg Waterfall"
"level 4","level 4","Waterfall Bekhal"
"level 4","level 4","Shaklawa Resort"
"level 4","level 4","Chandelar Cave"
"level 4","level 4","Resort Haj Omran"
"level 4","level 4","Museum of Syrialc Heritage"
"level 4","level 4","Ganarok Resort"
"level 4","level 4","Aqua Park"
"level 4","level 4","Shandar Park"
"level 4","level 4","Ronaki Park"
"level 4","level 4","Sami Abdel Rahman Park"
"level 4","level 4","Shander Park"
"level 4","level 4","Lighthouse Park"
"level 4","level 4","amusement park  of Ainkawa"
"level 4","level 4","amusement park  of Family Fan"
"level 4","level 4","Ainkawa Park"
"level 4","level 4","Plain pf Harer"
"level 4","level 4","Historic Arbil Castle"
"level 4","level 4","Castle of nobles"
"level 4","level 4","The Jolly Minaret"
"level 4","level 4","Rawanduz"
"level 4","level 4","Tourist Bank Resort"
"level 4","level 4","Magdy Mall"
"level 4","level 4","Holler Mall"
"level 4","level 4","Rhine Mall"
"level 4","level 4","city ??center"
"level 4","level 4","Tablo Mall"
"level 4","level 4","Mount Azmar"
"level 4","level 4","Mount Koige"
"level 4","level 4","the aquatic city"
"level 4","level 4","Sargonar"
"level 4","level 4","Ahmed Awa Falls"
"level 4","level 4","Lake of Dokan"
"level 4","level 3","Lake Darbandakhan"
"level 4","level 4","Kunah Masi"
"level 4","level 3","Chirouane Castle"
"level 4","level 4","Mosque of Sulaymaniyah"
"level 4","level 4","Museum of Sulaymaniyah"
"level 4","level 4","Family Mall"
"level 4","level 4","Magdy Mall"
"level 4","level 4","Jaffee Land"
"level 4","level 4","Mallow Mall"
"level 4","level 4","Park Azadi"
"level 4","level 2","Babil Tourist Resort"
"level 4","level 2","Traces of Babylon"
"level 4","level 2","Mosque of Nakhilah"
"level 4","level 2","Grand Mosque of Hilla"
"level 4","level 2","Grand Mosque of Alexandria"
"level 4","level 2","Great Mosque of Musayyib"
"level 4","level 2","Al Zaqora Park"
"level 4","level 2","The Nimrod Tower in Borsiba"
"level 4","level 2","The Shrine of the Prophet Ibrahim"
"level 4","level 2","The Shrine of the Prophet Ayoub"
"level 4","level 2","The Ishtar Gate"
"level 4","level 2","Hanging Gardens"
"level 4","level 2","The Nebuchadnezzar Museum"
"level 4","level 2","The Babylonian Theater"
"level 4","level 2","The Shrine of Sharifa Bint Al Hassan"
"level 4","level 1","Sindbad Island"
"level 4","level 1","The tourist baho"
"level 4","level 1","Qurna"
"level 4","level 1","Basra Land"
"level 4","level 1","Basra Sports City"
"level 4","level 1","corneche Street"
"level 4","level 1","Threshold forests"
"level 4","level 1","Burjisiyah"
"level 4","level 1","Al Khoura Gardens"
"level 4","level 1","Presidential Palace"
"level 4","level 1","Indian Market"
"level 4","level 1","Market of Al-ashaar"
"level 4","level 1","Basra Times Square"
"level 4","level 1","Ashar Center"
"level 4","level 1","Basra Mall"
"level 4","level 1","Basra Cultural Museum"
"level 4","level 1","amusement park  of Galfar"
"level 4","level 1","amusement park  of  Coast"
"level 4","level 1","The Shrine of Imam Ali bin Abi Talib"
"level 4","level 1","The Shrine of the Prophet Hood"
"level 4","level 3","The Shrine of the Prophet Salih"
"level 4","level 1","The Shrine of the Prophet Adam"
"level 4","level 2","Mosque of Muslim bin Aqeel"
"level 4","level 2","Valley of Peace"
"level 4","level 2","Mosque of Kufa"
"level 4","level 2","Sea of ??Najaf"
"level 4","level 2","The big market"
"level 4","level 1","Khan Al Rahba"
"level 4","level 2","Najaf Heritage Museum"
"level 4","level 2","The typical recreational city"
"level 4","level 2","Palace of the Emirate"
"level 4","level 2","amusement park  of  Teachers"
"level 4","level 2","amusement park  of Peace"
"level 3","level 2","Imam Ali bin Abi Talib drop"
"level 3","level 2","Al - Ukhaydir Fort"
"level 1","level 1","The Shrine of Imam Hussein and Abbas"
"level 3","level 2","The Palace of Shimon"
"level 3","level 2","Lake of  Razzaza"
"level 4","level 2","White Qantara"
"level 3","level 2","Ayn al-Tamr"
"level 4","level 2","Bab al-Salalma market"
"level 4","level 3","Al-Min?rat Al-Malwiyyah"
"level 4","level 3","The two military imams"
"level 4","level 3","Qasr al-'Ashiq"
"level 4","level 3","Mosque of Abu Delf"
"level 4","level 3","Samarra"
"level 4","level 3","The Abbasid Antiquities"
"level 4","level 3","Al-Sodor lake"
"level 4","level 3","Dam of Diyala"
"level 4","level 3","Lake of  Hamrin"
"level 4","level 3","The tourist city in the Great Dam"
"level 4","level 3","Qantaraa of Khanaqin"
"level 4","level 3","Qantara of Bharaz"
"level 4","level 2","Khan Bani Saad"
"level 4","level 3","Qara Tabah market"
"level 4","level 3","Shabandar Mosque"
"level 4","level 3","Mosque of Naqshbandi"
"level 3","level 3","Mosque of Sheikh Rajab (Rawa)"
"level 3","level 3","Mosque of Farouk"
"level 3","level 2","Lake of Habbaniyah"
"level 3","level 3","Hdietha dam"
"level 3","level 2","Ozdelik Park Shopping Center"
"level 3","level 3","Lake of Al-Tharthar"
"level 3","level 3","Khan al-Baghdadi"
"level 4","level 2","The Shrine of the Prophet Ayoub"
"level 4","level 2","The Shrine of the Prophet Shuaib"
"level 4","level 2","Corniche of Diwaniyah"
"level 4","level 2","Olive Park"
"level 4","level 4","Castle of Kirkuk"
"level 4","level 3","Castle of Gramo"
"level 4","level 4","Al Qashla Building"
"level 4","level 4","The Shrine of the Prophet Daniel"
"level 4","level 4","Sargnar Park"
"level 4","level 4","Mosque of the friend."
"level 4","level 4","Mosque of Mohammed al - Ghouth (Mosque judge)."
"level 4","level 4","The amusement park of Baba Karkar"
"level 4","level 4","The amusement park of Kirkuk"
"level 4","level 1","The archaeological city of Ur"
"level 4","level 1","Or Chaldean"
"level 4","level 1","Museum of Inaglede Nana"
"level 4","level 1","Erdo"
"level 4","level 1","The Dhi Qar Marshes"
"level 4","level 1","Faleh Pasha Grand Mosque."
"level 4","level 1","Mosque of Souk al-Shuyuk"
"level 4","level 1","Museum of Nasiriyah"
"level 4","level 1","Anchorage Boats Reform"
"level 4","level 1","Zaytouna Park"
"level 4","level 1","Park Teachers District"
"level 4","level 1","The Archaeological Temple of Carius"
"level 4","level 1","Orok Castle"
"level 4","level 1","Lake of Sawa"
"level 4","level 1","Maysan Marshlands"
"level 4","level 2","Zoo and Park of Omaraa"
"level 4","level 2","Boat Park"
"level 4","level 2","The entertainment city of Maysan"
"level 4","level 2","Great Architecture Market"
"level 4","level 2","Damok Park"
"level 4","level 2","Historic City of Wasit"
"level 4","level 2","Corniche El Kout"
"level 4","level 2","Grand Mosque of Kut"
"level 4","level 2","Al Rihana Park"
"level 4","level 2","Heritage Market"
